YEAR,MEAN,Q25,Q50,Q75,STD,COVAR,SKEW,MAX,MIN,RANGE,BFIX,RISER,FALLR
1977,101.903061,12.500000,73.099998,112.000000,143.312897,1.406365,3.295135,946.000000,2.830000,943.169983,0.027940,5.050000,-2.799995
1978,108.161148,18.100000,41.599998,119.000000,163.087158,1.507816,2.905119,1030.000000,7.420000,1022.580017,0.069156,3.000000,-1.100002
1979,163.772308,21.799999,58.000000,162.000000,264.480225,1.614926,3.153679,1740.000000,11.300000,1728.699951,0.069696,7.049999,-2.000000
1980,81.490135,21.025000,32.049999,69.949997,143.113312,1.756204,3.852703,903.000000,11.800000,891.200012,0.146030,3.400000,-0.799999
1981,85.721909,12.800000,23.299999,82.300003,146.300339,1.706686,3.016157,950.000000,4.650000,945.349976,0.056678,2.600000,-0.500000
1982,117.924393,12.100000,54.400002,158.000000,158.670303,1.345526,2.594808,870.000000,7.600000,862.400024,0.064933,3.000000,-3.000000
1983,120.846916,30.200001,50.000000,96.400002,186.006332,1.539190,3.103593,1220.000000,16.799999,1203.199951,0.144220,3.150000,-1.500000
1984,96.034454,22.200001,41.300003,100.724998,127.742630,1.330175,2.101746,569.000000,12.400000,556.599976,0.133732,3.000000,-1.000000
1985,93.576141,22.000000,50.500000,109.000000,134.644135,1.438872,3.968629,1080.000000,11.900000,1068.099976,0.127780,3.000000,-2.000000
1986,77.500351,17.500000,38.799999,71.599998,112.979683,1.457796,2.764492,565.000000,8.800000,556.200012,0.113917,2.700001,-0.800001
1987,67.159172,20.600000,48.400002,75.300003,77.060349,1.147429,3.128574,496.000000,11.200000,484.799988,0.167619,2.800001,-1.600002
1988,102.018036,21.950001,61.099998,123.750000,114.291168,1.120304,1.880226,561.000000,11.000000,550.000000,0.108944,6.150000,-2.500000
1989,106.183571,21.000000,34.099998,100.000000,175.771835,1.655358,2.752861,924.000000,11.000000,913.000000,0.105209,3.599999,-0.900002
1990,126.937256,25.600000,71.000000,150.000000,172.599503,1.359723,3.566115,1250.000000,12.100000,1237.900024,0.095885,8.000000,-2.000000
1991,91.055908,20.299999,38.500000,111.000000,114.862770,1.261453,2.132856,590.000000,7.670000,582.330017,0.090023,2.650000,-1.250000
1992,125.781975,30.449999,68.699997,123.000000,189.901489,1.509767,2.997679,968.000000,12.200000,955.799988,0.098924,5.049999,-2.200001
1993,122.494232,32.500000,68.000000,160.000000,139.789444,1.141192,2.006333,741.000000,9.990000,731.010010,0.082091,7.300003,-1.700001
1994,82.916756,17.400000,36.200001,118.000000,97.206268,1.172336,1.713347,444.000000,8.450000,435.549988,0.104063,1.099998,-1.000000
1995,88.415970,14.600000,49.200001,112.000000,102.419540,1.158383,1.778768,499.000000,5.200000,493.799988,0.062885,4.000000,-2.000000
1996,118.229233,21.025000,39.900002,86.824997,244.452927,2.067618,3.874059,1510.000000,13.400000,1496.599976,0.118656,2.000000,-1.000000
1997,106.154541,16.299999,25.500000,109.000000,176.682648,1.664391,2.731529,962.000000,11.200000,950.799988,0.106852,1.199999,-0.700001
1998,71.146851,18.900000,51.900002,80.000000,87.408737,1.228568,3.004956,564.000000,7.520000,556.479980,0.106400,3.799999,-1.599998
1999,104.475334,24.400000,48.000000,125.000000,136.477829,1.306316,2.391523,718.000000,11.300000,706.700012,0.109117,2.000000,-2.000000
2000,73.501129,22.849998,33.500000,93.000000,87.663475,1.192682,2.661296,591.000000,12.000000,579.000000,0.166373,4.500000,-1.100002
2001,87.685463,12.000000,31.799999,105.000000,157.055969,1.791129,4.554903,1180.000000,5.060000,1174.939941,0.066048,1.280000,-2.000000
2002,97.507469,20.200001,32.599998,101.000000,149.274948,1.530908,2.773846,900.000000,8.690000,891.309998,0.094630,0.950000,-0.900000
2003,95.911568,18.100000,39.900002,90.000000,156.926300,1.636156,3.453386,1100.000000,6.150000,1093.849976,0.066952,4.350001,-1.200001
2004,112.824303,27.125000,61.300003,120.000000,142.786087,1.265561,2.510524,815.000000,12.800000,802.200012,0.115730,4.200001,-2.000000
2005,64.695580,15.900000,26.500000,85.000000,82.800049,1.279841,2.131121,414.000000,2.470000,411.529999,0.039526,3.000000,-0.569999
2006,77.589836,13.900000,17.400000,32.200001,158.157196,2.038375,3.126347,815.000000,4.770000,810.229980,0.065491,0.540000,-0.500000
2007,74.770836,15.300000,48.400002,98.800003,83.152306,1.112095,2.435408,551.000000,9.100000,541.900024,0.124667,5.000000,-1.400002
2008,105.026215,15.800000,26.950001,106.000000,179.193436,1.706178,3.363268,1220.000000,12.800000,1207.199951,0.123507,1.550000,-0.699999
2009,88.935349,12.200000,53.900002,106.000000,107.805595,1.212179,2.507887,644.000000,10.700000,633.299988,0.121758,5.000000,-3.000000
2010,32.938381,18.700001,24.299999,38.900002,22.753071,0.690777,1.412316,108.000000,6.930000,101.070000,0.237283,1.299999,-0.700001
2011,70.675827,14.400000,19.400000,59.599998,118.585960,1.677886,2.960761,746.000000,6.900000,739.099976,0.107735,1.000000,-0.400000
2012,81.073318,15.000000,25.400000,104.250000,123.386543,1.521913,3.522099,876.000000,7.920000,868.080017,0.099751,2.849999,-1.000000
2013,151.494278,27.100000,87.400002,186.000000,179.829681,1.187039,2.276666,1020.000000,13.500000,1006.500000,0.091375,4.799999,-5.000000
2014,139.962479,32.200001,67.599998,177.000000,173.185638,1.237372,2.392364,1040.000000,12.200000,1027.800049,0.092576,7.099998,-3.699997
2015,109.548180,20.700001,41.500000,138.000000,142.392441,1.299816,1.897579,717.000000,11.100000,705.900024,0.103803,4.000001,-1.200001
2016,73.606552,22.625000,44.599998,90.775002,77.735085,1.056089,2.185708,462.000000,10.000000,452.000000,0.147114,4.500000,-1.700001
